name,price,url,rating
"vivo Y29 5G (8GB RAM, 256GB, Titanium Gold)",18999,https://www.croma.com/vivo-y29-5g-8gb-ram-256gb-titanium-gold-/p/312579,N/A
"SAMSUNG Galaxy Fit3 Smartwatch with Activity Tracker (40.9mm AMOLED Display, IP68 Water Resistant, Silver Strap)",4699,https://www.croma.com/samsung-galaxy-fit3-smartwatch-with-activity-tracker-40-9mm-amoled-display-ip68-water-resistant-silver-strap-/p/305256,3
"realme 14x 5G (8GB RAM, 128GB, Jewel Red)",15999,https://www.croma.com/realme-14x-5g-8gb-ram-128gb-jewel-red-/p/312426,N/A
"noise NoiseFit Halo Plus Smartwatch with Bluetooth Calling (37.08mm AMOLED Display, IP68 Water Resistant, Elite Silver Strap)",2999,https://www.croma.com/noise-noisefit-halo-plus-smartwatch-with-bluetooth-calling-37-08mm-amoled-display-ip68-water-resistant-elite-silver-strap-/p/275303,4.5
"OnePlus Nord CE4 5G (8GB RAM, 128GB, Marble)",22999,https://www.croma.com/oneplus-nord-ce4-5g-8gb-ram-128gb-marble-/p/305870,2.8
"Apple Watch SE GPS with Midnight Sport Band - S/M (40mm Retina LTPO OLED Display, Midnight Aluminium Case)",24190,https://www.croma.com/apple-watch-se-gps-with-midnight-sport-band-s-m-40mm-retina-ltpo-oled-display-midnight-aluminium-case-/p/309325,N/A
"Redmi 14C 5G (6GB RAM, 128GB, Stargaze Black)",11499,https://www.croma.com/redmi-14c-5g-6gb-ram-128gb-stargaze-black-/p/312590,5
"Apple iPhone 16 Pro (256GB, White Titanium)",122900,https://www.croma.com/apple-iphone-16-pro-256gb-white-titanium-/p/309730,N/A
"Redmi 14C 5G (4GB RAM, 128GB, Stargaze Black)",10499,https://www.croma.com/redmi-14c-5g-4gb-ram-128gb-stargaze-black-/p/312587,N/A
"vivo V50 5G (8GB RAM, 128GB, Rose Red)",34999,https://www.croma.com/vivo-v50-5g-8gb-ram-128gb-rose-red-/p/313863,5
"Redmi A3 (4GB RAM, 128GB, Olive Green)",8294,https://www.croma.com/redmi-a3-4gb-ram-128gb-olive-green-/p/304903,2.5
"boAt Enigma Switch Smartwatch with Bluetooth Calling (35.3mm HD Display, IP68 Sweat Resistant, Steel Silver Strap)",2794,https://www.croma.com/boat-enigma-switch-smartwatch-with-bluetooth-calling-35-3mm-hd-display-ip68-sweat-resistant-steel-silver-strap-/p/303905,4
"realme 14x 5G (6GB RAM, 128GB, Golden Glow)",14999,https://www.croma.com/realme-14x-5g-6gb-ram-128gb-golden-glow-/p/312422,1
"SAMSUNG Galaxy A16 5G (8GB RAM, 256GB, Light Green)",19999,https://www.croma.com/samsung-galaxy-a16-5g-8gb-ram-256gb-light-green-/p/311653,N/A
"SAMSUNG Galaxy S25 5G (12GB RAM, 256GB, Silver Shadow)",80999,https://www.croma.com/samsung-galaxy-s25-5g-12gb-ram-256gb-silver-shadow-/p/313338,N/A
"vivo V40 5G (8GB RAM, 256GB, Ganges Blue)",36999,https://www.croma.com/vivo-v40-5g-8gb-ram-256gb-ganges-blue-/p/308791,4.7
"Nothing Phone 2a 5G (8GB RAM, 128GB, Black)",21999,https://www.croma.com/nothing-phone-2a-5g-8gb-ram-128gb-black-/p/305347,2.8
"vivo V30e 5G (8GB RAM, 256GB, Silk Blue)",25999,https://www.croma.com/vivo-v30e-5g-8gb-ram-256gb-silk-blue-/p/306489,5
"Redmi Note 14 5G (8GB RAM, 256GB, Phantom Purple)",20999,https://www.croma.com/redmi-note-14-5g-8gb-ram-256gb-phantom-purple-/p/312121,N/A
"SAMSUNG Galaxy S25 Ultra 5G (12GB RAM, 256GB, Titanium Silverblue)",123999,https://www.croma.com/samsung-galaxy-s25-ultra-5g-12gb-ram-256gb-titanium-silverblue-/p/313330,5
"FIRE-BOLTT Atlas Smartwatch with Bluetooth Calling (49.5mm TFT HD Display, IP68 Water Resistant, Black Strap)",1094,https://www.croma.com/fire-boltt-atlas-smartwatch-with-bluetooth-calling-49-5mm-tft-hd-display-ip68-water-resistant-black-strap-/p/273171,4.5
"Apple iPhone 16 Plus (128GB, Pink)",81490,https://www.croma.com/apple-iphone-16-plus-128gb-pink-/p/309709,N/A
"SAMSUNG Galaxy A16 5G (8GB RAM, 128GB, Light Green)",16999,https://www.croma.com/samsung-galaxy-a16-5g-8gb-ram-128gb-light-green-/p/311650,N/A
"Redmi 13 5G (8GB RAM, 128GB, Black Diamond)",13999,https://www.croma.com/redmi-13-5g-8gb-ram-128gb-black-diamond-/p/307692,4.9
"Redmi Note 14 5G (8GB RAM, 128GB, Mystique White)",18999,https://www.croma.com/redmi-note-14-5g-8gb-ram-128gb-mystique-white-/p/312119,N/A
"Redmi 13 5G (6GB RAM, 128GB, Black Diamond)",12499,https://www.croma.com/redmi-13-5g-6gb-ram-128gb-black-diamond-/p/307689,4
"Apple iPhone 16 (256GB, Ultramarine)",81490,https://www.croma.com/apple-iphone-16-256gb-ultramarine-/p/309700,N/A
"vivo V50 5G (12GB RAM, 512GB, Starry Night)",40999,https://www.croma.com/vivo-v50-5g-12gb-ram-512gb-starry-night-/p/313868,5
"oppo A3x 5G (4GB RAM, 128GB, Starlight White)",12499,https://www.croma.com/oppo-a3x-5g-4gb-ram-128gb-starlight-white-/p/308548,5
"OnePlus Nord 4 5G (8GB RAM, 256GB, Oasis Green)",29999,https://www.croma.com/oneplus-nord-4-5g-8gb-ram-256gb-oasis-green-/p/308681,3.5
"Apple Watch SE GPS with Ink Sport Loop (44mm Retina LTPO OLED Display, Midnight Aluminium Case)",27090,https://www.croma.com/apple-watch-se-gps-with-ink-sport-loop-44mm-retina-ltpo-oled-display-midnight-aluminium-case-/p/309351,N/A
"Redmi Note 14 5G (8GB RAM, 128GB, Phantom Purple)",18999,https://www.croma.com/redmi-note-14-5g-8gb-ram-128gb-phantom-purple-/p/312106,N/A
